"repo_id","date","release_count","repo_group_id","repo_git","repo_path","repo_name","repo_added","repo_type","url","owner_id","description","primary_language","created_at","forked_from","updated_at","repo_archived_date_collected","repo_archived","tool_source","tool_version","data_source","data_collection_date","org_name"
150913,2008-04-01,1,25749,"https://github.com/php/pecl-networking-uuid","github.com-php-pecl-networking-uuid","pecl-networking-uuid","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150913,2012-06-18,1,25749,"https://github.com/php/pecl-networking-uuid","github.com-php-pecl-networking-uuid","pecl-networking-uuid","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150913,NA,6,25749,"https://github.com/php/pecl-networking-uuid","github.com-php-pecl-networking-uuid","pecl-networking-uuid","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2001-07-20,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2001-07-30,3,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2001-09-19,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2001-09-25,2,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2001-10-11,8,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2001-12-11,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2002-02-28,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2002-03-27,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
150914,2002-12-12,1,25749,"https://github.com/php/pecl-mail-mailparse","github.com-php-pecl-mail-mailparse","pecl-mail-mailparse","2024-01-22 13:08:02","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2024-01-22 13:08:02","php"
