commit_month,avg_commits_per_contributor,org_name
2017-05-01,3.5,openmls
2018-05-01,1.0,openmls
2018-11-01,1.0,openmls
2019-01-01,4.5,openmls
2019-02-01,4.0,openmls
2019-03-01,3.0,openmls
2019-04-01,1.0,openmls
2019-05-01,1.0,openmls
2019-11-01,4.666666666666667,openmls
2019-12-01,3.0,openmls
2020-04-01,2.6666666666666665,openmls
2020-05-01,47.5,openmls
2020-07-01,8.0,openmls
2020-08-01,139.0,openmls
2020-09-01,74.0,openmls
2020-10-01,185.33333333333334,openmls
2020-11-01,105.33333333333333,openmls
2020-12-01,78.5,openmls
2021-01-01,45.0,openmls
2021-02-01,30.6,openmls
2021-03-01,25.5,openmls
2021-04-01,85.6,openmls
2021-05-01,53.0,openmls
2021-06-01,129.0,openmls
2021-07-01,101.5,openmls
2021-08-01,6.0,openmls
2021-09-01,2.3333333333333335,openmls
2021-10-01,85.75,openmls
2021-11-01,89.0,openmls
2021-12-01,182.2,openmls
2022-01-01,63.0,openmls
2022-02-01,173.16666666666666,openmls
2022-03-01,9.5,openmls
2022-04-01,1.75,openmls
2022-05-01,1.0,openmls
2022-06-01,3.0,openmls
2022-07-01,5.0,openmls
2022-08-01,13.0,openmls
2022-09-01,16.333333333333332,openmls
2022-10-01,63.0,openmls
2022-11-01,52.285714285714285,openmls
2022-12-01,74.28571428571429,openmls
2023-01-01,118.0,openmls
2023-02-01,67.14285714285714,openmls
2023-03-01,52.6,openmls
2023-04-01,38.285714285714285,openmls
2023-05-01,20.0,openmls
2023-06-01,12.0,openmls
2023-07-01,6.4,openmls
2023-08-01,35.75,openmls
2023-09-01,6.8,openmls
2023-10-01,2.5,openmls
2023-11-01,2.0,openmls
2023-12-01,2.6666666666666665,openmls
2024-01-01,46.25,openmls
2024-02-01,29.75,openmls
2024-03-01,19.333333333333332,openmls
2024-04-01,60.25,openmls
2012-01-01,25.0,openpgpjs
2012-02-01,18.666666666666668,openpgpjs
2012-03-01,12.333333333333334,openpgpjs
2012-04-01,22.88888888888889,openpgpjs
2012-05-01,45.6,openpgpjs
2012-06-01,17.75,openpgpjs
2012-07-01,47.2,openpgpjs
2012-08-01,15.333333333333334,openpgpjs
2012-09-01,20.428571428571427,openpgpjs
2012-10-01,20.571428571428573,openpgpjs
2012-11-01,15.0,openpgpjs
2012-12-01,23.555555555555557,openpgpjs
2013-01-01,12.066666666666666,openpgpjs
2013-02-01,22.2,openpgpjs
2013-03-01,39.0,openpgpjs
2013-04-01,48.333333333333336,openpgpjs
2013-05-01,40.77777777777778,openpgpjs
2013-06-01,11.4,openpgpjs
2013-07-01,7.0,openpgpjs
2013-08-01,9.2,openpgpjs
2013-09-01,4.928571428571429,openpgpjs
2013-10-01,26.214285714285715,openpgpjs
2013-11-01,26.41176470588235,openpgpjs
2013-12-01,81.8,openpgpjs
2014-01-01,104.8,openpgpjs
2014-02-01,41.69230769230769,openpgpjs
2014-03-01,70.6,openpgpjs
2014-04-01,31.625,openpgpjs
2014-05-01,25.785714285714285,openpgpjs
2014-06-01,35.93333333333333,openpgpjs
2014-07-01,27.083333333333332,openpgpjs
2014-08-01,24.88888888888889,openpgpjs
2014-09-01,19.076923076923077,openpgpjs
2014-10-01,16.666666666666668,openpgpjs
2014-11-01,18.466666666666665,openpgpjs
2014-12-01,17.153846153846153,openpgpjs
2015-01-01,14.76923076923077,openpgpjs
2015-02-01,18.153846153846153,openpgpjs
2015-03-01,16.6,openpgpjs
2015-04-01,12.857142857142858,openpgpjs
2015-05-01,5.25,openpgpjs
2015-06-01,7.923076923076923,openpgpjs
2015-07-01,10.181818181818182,openpgpjs
2015-08-01,5.8125,openpgpjs
2015-09-01,5.363636363636363,openpgpjs
2015-10-01,18.666666666666668,openpgpjs
2015-11-01,5.5,openpgpjs
2015-12-01,7.4,openpgpjs
2016-01-01,19.846153846153847,openpgpjs
2016-02-01,48.27272727272727,openpgpjs
2016-03-01,12.4375,openpgpjs
2016-04-01,5.8,openpgpjs
2016-05-01,7.0,openpgpjs
2016-06-01,9.0,openpgpjs
2016-07-01,10.5,openpgpjs
2016-08-01,9.333333333333334,openpgpjs
2016-09-01,3.875,openpgpjs
2016-10-01,6.25,openpgpjs
2016-11-01,3.3333333333333335,openpgpjs
2016-12-01,8.777777777777779,openpgpjs
2017-01-01,5.0,openpgpjs
2017-02-01,8.818181818181818,openpgpjs
2017-03-01,11.666666666666666,openpgpjs
2017-04-01,4.0,openpgpjs
2017-05-01,4.0,openpgpjs
2017-06-01,4.4,openpgpjs
2017-07-01,41.266666666666666,openpgpjs
2017-08-01,4.5,openpgpjs
2017-09-01,4.0,openpgpjs
2017-10-01,2.0,openpgpjs
2017-11-01,16.0,openpgpjs
2017-12-01,18.125,openpgpjs
2018-01-01,51.57142857142857,openpgpjs
2018-02-01,89.0,openpgpjs
2018-03-01,58.625,openpgpjs
2018-04-01,69.5,openpgpjs
2018-05-01,39.09090909090909,openpgpjs
2018-06-01,28.142857142857142,openpgpjs
2018-07-01,38.57142857142857,openpgpjs
2018-08-01,11.5,openpgpjs
2018-09-01,14.6,openpgpjs
2018-10-01,16.4,openpgpjs
2018-11-01,12.9,openpgpjs
2018-12-01,22.142857142857142,openpgpjs
2019-01-01,28.11764705882353,openpgpjs
2019-02-01,25.285714285714285,openpgpjs
2019-03-01,6.0,openpgpjs
2019-04-01,5.25,openpgpjs
2019-05-01,26.25,openpgpjs
2019-06-01,11.714285714285714,openpgpjs
2019-07-01,4.428571428571429,openpgpjs
2019-08-01,17.5,openpgpjs
2019-09-01,10.666666666666666,openpgpjs
2019-10-01,9.166666666666666,openpgpjs
2019-11-01,77.85714285714286,openpgpjs
2019-12-01,17.5,openpgpjs
2020-01-01,21.875,openpgpjs
2020-02-01,42.0,openpgpjs
2020-03-01,5.6,openpgpjs
2020-04-01,37.25,openpgpjs
2020-05-01,45.2,openpgpjs
2020-06-01,22.5,openpgpjs
2020-07-01,14.666666666666666,openpgpjs
2020-08-01,14.0,openpgpjs
2020-09-01,15.666666666666666,openpgpjs
2020-10-01,1.0,openpgpjs
2020-11-01,13.5,openpgpjs
2020-12-01,18.25,openpgpjs
2021-01-01,25.5,openpgpjs
2021-02-01,115.5,openpgpjs
2021-03-01,84.8,openpgpjs
2021-04-01,24.0,openpgpjs
2021-05-01,27.8,openpgpjs
2021-06-01,35.75,openpgpjs
2021-07-01,21.571428571428573,openpgpjs
2021-08-01,55.0,openpgpjs
2021-09-01,23.666666666666668,openpgpjs
2021-10-01,49.8,openpgpjs
2021-11-01,32.6,openpgpjs
2021-12-01,14.555555555555555,openpgpjs
2022-01-01,38.8,openpgpjs
2022-02-01,10.8,openpgpjs
2022-03-01,50.0,openpgpjs
2022-05-01,10.333333333333334,openpgpjs
2022-06-01,23.0,openpgpjs
2022-07-01,2.0,openpgpjs
2022-08-01,29.8,openpgpjs
2022-09-01,10.0,openpgpjs
2022-10-01,2.75,openpgpjs
2022-11-01,6.666666666666667,openpgpjs
2022-12-01,293.0,openpgpjs
2023-01-01,57.166666666666664,openpgpjs
2023-02-01,61.0,openpgpjs
2023-03-01,51.25,openpgpjs
2023-04-01,28.88888888888889,openpgpjs
2023-05-01,39.142857142857146,openpgpjs
2023-06-01,16.0,openpgpjs
2023-07-01,17.333333333333332,openpgpjs
2023-08-01,38.25,openpgpjs
2023-09-01,37.285714285714285,openpgpjs
2023-10-01,26.8,openpgpjs
2023-11-01,19.0,openpgpjs
2023-12-01,53.0,openpgpjs
2024-01-01,29.0,openpgpjs
2024-02-01,70.0,openpgpjs
2024-03-01,24.0,openpgpjs
2012-01-01,30.8,rubygems
2012-02-01,25.833333333333332,rubygems
2012-03-01,111.36363636363636,rubygems
2012-04-01,22.863636363636363,rubygems
2012-05-01,20.28,rubygems
2012-06-01,24.894736842105264,rubygems
2012-07-01,20.1,rubygems
2012-08-01,26.12,rubygems
2012-09-01,21.652173913043477,rubygems
2012-10-01,24.533333333333335,rubygems
2012-11-01,28.733333333333334,rubygems
2012-12-01,23.87878787878788,rubygems
2013-01-01,24.367346938775512,rubygems
2013-02-01,32.351851851851855,rubygems
2013-03-01,40.13333333333333,rubygems
2013-04-01,26.517241379310345,rubygems
2013-05-01,14.8125,rubygems
2013-06-01,20.333333333333332,rubygems
2013-07-01,21.408163265306122,rubygems
2013-08-01,22.57894736842105,rubygems
2013-09-01,25.0,rubygems
2013-10-01,25.795454545454547,rubygems
2013-11-01,35.86842105263158,rubygems
2013-12-01,20.666666666666668,rubygems
2014-01-01,33.30952380952381,rubygems
2014-02-01,16.710526315789473,rubygems
2014-03-01,13.8,rubygems
2014-04-01,19.515151515151516,rubygems
2014-05-01,15.27659574468085,rubygems
2014-06-01,39.611111111111114,rubygems
2014-07-01,66.0625,rubygems
2014-08-01,34.3448275862069,rubygems
2014-09-01,16.18918918918919,rubygems
