month,unique_contributors,org_name
2015-05,1,openpgpjs
2015-06,2,openpgpjs
2015-07,5,openpgpjs
2015-08,6,openpgpjs
2015-09,4,openpgpjs
2015-10,9,openpgpjs
2015-11,3,openpgpjs
2015-12,3,openpgpjs
2016-01,5,openpgpjs
2016-02,4,openpgpjs
2016-03,3,openpgpjs
2016-04,5,openpgpjs
2016-05,3,openpgpjs
2016-06,3,openpgpjs
2016-07,5,openpgpjs
2016-08,5,openpgpjs
2016-09,2,openpgpjs
2016-10,1,openpgpjs
2016-11,3,openpgpjs
2016-12,4,openpgpjs
2017-01,4,openpgpjs
2017-02,3,openpgpjs
2017-03,2,openpgpjs
2017-04,7,openpgpjs
2017-05,2,openpgpjs
2017-07,4,openpgpjs
2017-09,1,openpgpjs
2017-10,2,openpgpjs
2017-12,1,openpgpjs
2018-01,3,openpgpjs
2018-02,2,openpgpjs
2018-03,2,openpgpjs
2018-04,2,openpgpjs
2018-05,1,openpgpjs
2018-07,6,openpgpjs
2018-08,3,openpgpjs
2018-09,3,openpgpjs
2018-10,3,openpgpjs
2018-11,1,openpgpjs
2018-12,3,openpgpjs
2019-01,2,openpgpjs
2019-02,1,openpgpjs
2019-03,5,openpgpjs
2019-05,4,openpgpjs
2019-07,2,openpgpjs
2019-08,1,openpgpjs
2019-10,3,openpgpjs
2019-12,1,openpgpjs
2020-01,1,openpgpjs
2020-02,1,openpgpjs
2020-03,1,openpgpjs
2020-04,3,openpgpjs
2020-05,2,openpgpjs
2020-06,3,openpgpjs
2020-07,3,openpgpjs
2020-08,1,openpgpjs
2020-09,1,openpgpjs
2020-10,1,openpgpjs
2020-11,3,openpgpjs
2020-12,1,openpgpjs
2021-01,1,openpgpjs
2021-02,4,openpgpjs
2021-03,1,openpgpjs
2021-06,1,openpgpjs
2021-12,1,openpgpjs
2022-01,1,openpgpjs
2022-02,1,openpgpjs
2022-04,1,openpgpjs
2022-06,2,openpgpjs
2022-07,1,openpgpjs
2022-10,1,openpgpjs
2022-11,1,openpgpjs
2022-12,2,openpgpjs
2023-01,1,openpgpjs
2023-02,2,openpgpjs
2023-04,1,openpgpjs
