month,active_repositories,org_name
2020-10,2,openjs-foundation
2020-11,2,openjs-foundation
2020-12,3,openjs-foundation
2021-01,2,openjs-foundation
2021-02,5,openjs-foundation
2021-03,8,openjs-foundation
2021-04,2,openjs-foundation
2021-05,3,openjs-foundation
2021-06,2,openjs-foundation
2021-07,3,openjs-foundation
2021-08,5,openjs-foundation
2021-09,2,openjs-foundation
2021-10,1,openjs-foundation
2021-11,3,openjs-foundation
2021-12,1,openjs-foundation
2022-01,5,openjs-foundation
2022-02,3,openjs-foundation
2022-03,3,openjs-foundation
2022-04,5,openjs-foundation
2022-05,3,openjs-foundation
2022-06,1,openjs-foundation
2022-07,2,openjs-foundation
2022-08,2,openjs-foundation
2022-09,2,openjs-foundation
2022-10,2,openjs-foundation
2022-11,3,openjs-foundation
2022-12,5,openjs-foundation
2023-01,4,openjs-foundation
2023-02,2,openjs-foundation
2023-03,3,openjs-foundation
2023-04,4,openjs-foundation
2023-05,7,openjs-foundation
2023-06,5,openjs-foundation
2023-07,7,openjs-foundation
2023-08,5,openjs-foundation
2023-09,4,openjs-foundation
2023-10,6,openjs-foundation
2023-11,1,openjs-foundation
2023-12,3,openjs-foundation
2024-01,6,openjs-foundation
2024-02,7,openjs-foundation
2024-03,6,openjs-foundation
2024-04,1,openjs-foundation
2017-02,1,openmls
2017-03,1,openmls
2017-04,1,openmls
2017-05,1,openmls
2018-05,1,openmls
2018-11,1,openmls
2019-01,1,openmls
2019-02,1,openmls
2019-03,1,openmls
2019-04,1,openmls
2019-05,1,openmls
2019-11,1,openmls
2019-12,1,openmls
2020-04,1,openmls
2020-05,1,openmls
2020-07,1,openmls
2020-08,1,openmls
2020-09,1,openmls
2020-10,1,openmls
2020-11,1,openmls
2020-12,1,openmls
2021-01,1,openmls
2021-02,1,openmls
2021-03,1,openmls
2021-04,3,openmls
2021-05,4,openmls
2021-06,5,openmls
2021-07,3,openmls
2021-08,2,openmls
2021-09,1,openmls
2021-10,4,openmls
2021-11,2,openmls
2021-12,2,openmls
2022-01,2,openmls
2022-02,5,openmls
2022-03,2,openmls
2022-04,1,openmls
2022-05,1,openmls
2022-06,1,openmls
2022-07,1,openmls
2022-09,2,openmls
2022-10,2,openmls
2022-11,1,openmls
2022-12,2,openmls
2023-01,2,openmls
2023-02,1,openmls
2023-03,2,openmls
2023-04,1,openmls
2023-05,1,openmls
2023-06,2,openmls
2023-07,2,openmls
2023-08,1,openmls
2023-09,1,openmls
2023-10,1,openmls
2023-11,1,openmls
2023-12,2,openmls
2024-01,2,openmls
2024-02,2,openmls
2024-03,3,openmls
2024-04,2,openmls
2012-01,3,openpgpjs
2012-02,2,openpgpjs
2012-03,3,openpgpjs
2012-04,2,openpgpjs
2012-05,2,openpgpjs
2012-06,2,openpgpjs
2012-07,2,openpgpjs
2012-08,2,openpgpjs
2012-09,2,openpgpjs
2012-10,4,openpgpjs
2012-11,2,openpgpjs
2012-12,3,openpgpjs
2013-01,5,openpgpjs
2013-02,5,openpgpjs
2013-03,6,openpgpjs
2013-04,5,openpgpjs
2013-05,3,openpgpjs
2013-06,5,openpgpjs
2013-07,4,openpgpjs
2013-08,4,openpgpjs
2013-09,5,openpgpjs
2013-10,6,openpgpjs
2013-11,6,openpgpjs
2013-12,6,openpgpjs
2014-01,8,openpgpjs
2014-02,7,openpgpjs
2014-03,6,openpgpjs
2014-04,7,openpgpjs
2014-05,6,openpgpjs
2014-06,6,openpgpjs
2014-07,5,openpgpjs
2014-08,6,openpgpjs
2014-09,7,openpgpjs
2014-10,8,openpgpjs
2014-11,7,openpgpjs
2014-12,6,openpgpjs
2015-01,4,openpgpjs
2015-02,6,openpgpjs
2015-03,6,openpgpjs
2015-04,7,openpgpjs
2015-05,5,openpgpjs
2015-06,6,openpgpjs
2015-07,8,openpgpjs
2015-08,6,openpgpjs
2015-09,5,openpgpjs
2015-10,5,openpgpjs
2015-11,5,openpgpjs
2015-12,4,openpgpjs
2016-01,5,openpgpjs
2016-02,8,openpgpjs
2016-03,9,openpgpjs
2016-04,8,openpgpjs
2016-05,3,openpgpjs
2016-06,3,openpgpjs
2016-07,3,openpgpjs
2016-08,6,openpgpjs
2016-09,4,openpgpjs
2016-10,2,openpgpjs
2016-11,4,openpgpjs
2016-12,7,openpgpjs
2017-01,3,openpgpjs
2017-02,6,openpgpjs
2017-03,6,openpgpjs
2017-04,2,openpgpjs
2017-05,2,openpgpjs
2017-06,4,openpgpjs
2017-07,5,openpgpjs
2017-08,4,openpgpjs
2017-09,5,openpgpjs
2017-10,4,openpgpjs
2017-11,1,openpgpjs
2017-12,4,openpgpjs
2018-01,3,openpgpjs
2018-02,4,openpgpjs
2018-03,4,openpgpjs
2018-04,2,openpgpjs
2018-05,3,openpgpjs
2018-06,3,openpgpjs
2018-07,6,openpgpjs
2018-08,6,openpgpjs
2018-09,2,openpgpjs
2018-10,2,openpgpjs
2018-11,6,openpgpjs
2018-12,4,openpgpjs
2019-01,5,openpgpjs
2019-02,4,openpgpjs
2019-03,2,openpgpjs
2019-04,2,openpgpjs
2019-05,4,openpgpjs
2019-06,4,openpgpjs
2019-07,5,openpgpjs
2019-08,3,openpgpjs
2019-09,3,openpgpjs
2019-10,3,openpgpjs
2019-11,4,openpgpjs
2019-12,2,openpgpjs
2020-01,5,openpgpjs
2020-02,4,openpgpjs
2020-03,4,openpgpjs
2020-04,5,openpgpjs
2020-05,5,openpgpjs
2020-06,2,openpgpjs
2020-07,3,openpgpjs
2020-08,1,openpgpjs
2020-09,3,openpgpjs
2020-11,2,openpgpjs
2020-12,1,openpgpjs
2021-01,1,openpgpjs
2021-02,7,openpgpjs
2021-03,6,openpgpjs
2021-04,2,openpgpjs
2021-05,2,openpgpjs
2021-06,1,openpgpjs
2021-07,4,openpgpjs
2021-08,1,openpgpjs
2021-09,2,openpgpjs
2021-10,3,openpgpjs
2021-11,6,openpgpjs
2021-12,4,openpgpjs
2022-01,4,openpgpjs
2022-02,4,openpgpjs
2022-03,2,openpgpjs
2022-05,3,openpgpjs
2022-06,5,openpgpjs
2022-07,3,openpgpjs
2022-08,3,openpgpjs
2022-09,6,openpgpjs
2022-10,3,openpgpjs
2022-11,3,openpgpjs
2022-12,3,openpgpjs
2023-01,6,openpgpjs
2023-02,5,openpgpjs
2023-03,3,openpgpjs
2023-04,4,openpgpjs
2023-05,5,openpgpjs
2023-06,6,openpgpjs
2023-07,5,openpgpjs
2023-08,5,openpgpjs
2023-09,7,openpgpjs
2023-10,4,openpgpjs
2023-11,4,openpgpjs
2023-12,2,openpgpjs
2024-01,2,openpgpjs
2024-02,6,openpgpjs
2024-03,1,openpgpjs
2020-02,1,pendulum-project
2022-01,1,pendulum-project
2022-02,1,pendulum-project
2022-03,2,pendulum-project
2022-04,1,pendulum-project
2022-05,3,pendulum-project
2022-06,1,pendulum-project
2022-07,1,pendulum-project
2022-08,1,pendulum-project
2022-09,2,pendulum-project
2022-10,2,pendulum-project
2022-11,2,pendulum-project
2022-12,3,pendulum-project
2023-01,3,pendulum-project
2023-02,4,pendulum-project
2023-03,4,pendulum-project
2023-04,3,pendulum-project
2023-05,4,pendulum-project
2023-06,3,pendulum-project
