time_period,org_name,running_total_open_issues,release_count,unique_contributors,avg_commits_per_contributor,average_closure_days,unique_pull_requests,open_pull_requests,closed_pull_requests,treated
2022-02-01,rustls,192.0,,,17.583333333333332,145.84754794973546,12.0,0.0,12.0,0
2022-03-01,rustls,192.0,,1.0,8.0,124.06377777777776,11.0,0.0,11.0,0
2022-04-01,rustls,193.0,,,8.583333333333334,68.90753086419753,10.0,0.0,10.0,0
2022-05-01,rustls,193.0,,2.0,36.75,100.20075652356904,18.0,0.0,18.0,0
2022-06-01,rustls,193.0,,,45.71428571428572,27.10884259259259,22.0,0.0,22.0,0
2022-07-01,rustls,191.0,,,14.666666666666666,4.3043125,14.0,0.0,14.0,0
2022-08-01,rustls,195.0,,1.0,10.714285714285714,103.15812996031748,8.0,0.0,8.0,0
2022-09-01,rustls,198.0,,,20.8,72.34805345117844,13.0,0.0,13.0,0
2022-10-01,rustls,198.0,,,9.411764705882351,57.46622685185185,22.0,0.0,22.0,0
2022-11-01,rustls,206.0,,,19.916666666666668,135.62684854497354,14.0,0.0,14.0,0
2022-12-01,rustls,208.0,,,31.8,16.835585648148147,30.0,0.0,30.0,0
2023-01-01,rustls,213.0,,,31.9375,100.97336033950616,42.0,0.0,42.0,0
2023-02-01,rustls,210.0,,,28.692307692307693,27.59417129629629,23.0,0.0,23.0,0
2023-03-01,rustls,202.0,,,24.37037037037037,75.24315800754458,99.0,0.0,99.0,0
2023-04-01,rustls,209.0,1.0,,93.92307692307692,38.40698228276353,34.0,0.0,34.0,0
2023-05-01,rustls,215.0,,,37.888888888888886,59.2999644510582,31.0,0.0,31.0,0
2023-06-01,rustls,213.0,,,37.28,27.62254289215686,62.0,1.0,61.0,0
2023-07-01,rustls,217.0,65.0,,207.5,18.617975639329806,90.0,0.0,90.0,1
2023-08-01,rustls,215.0,7.0,,32.9,20.070935457516335,90.0,0.0,90.0,1
2023-09-01,rustls,225.0,3.0,,39.06896551724138,39.67463541666667,125.0,5.0,120.0,1
2023-10-01,rustls,227.0,17.0,,34.03703703703704,33.42331337803321,87.0,1.0,86.0,1
2023-11-01,rustls,225.0,7.0,,53.30769230769231,17.515640914351852,161.0,1.0,160.0,1
2023-12-01,rustls,221.0,5.0,,29.424242424242426,8.800992576628353,96.0,2.0,94.0,1
2024-01-01,rustls,227.0,7.0,,15.304347826086955,13.9103759057971,81.0,3.0,78.0,1
2024-02-01,rustls,232.0,9.0,,28.761904761904763,6.05649779040404,94.0,2.0,92.0,1
2024-03-01,rustls,233.0,15.0,,24.45833333333333,4.462207341269841,121.0,3.0,118.0,1
2024-04-01,rustls,232.0,6.0,,9.0,1.7132995014245014,71.0,6.0,65.0,1
2013-06-01,systemd,1.0,,62.0,13.977653631284916,360.00834490740743,,,,0
2013-07-01,systemd,2.0,,65.0,13.854682454251884,142.6145949074074,,,,0
2013-12-01,systemd,1.0,,66.0,17.377777777777776,,,,,0
2014-03-01,systemd,2.0,3.0,60.0,15.068134171907756,0.1557523148148148,,,,0
2014-04-01,systemd,3.0,,62.0,12.575157515751576,43.671655092592594,,,,0
2014-05-01,systemd,2.0,,60.0,14.266990291262136,55.45408564814815,6.0,0.0,6.0,0
2014-07-01,systemd,2.0,,55.0,16.639019792648444,,,,,0
2014-11-01,systemd,2.0,,60.0,17.737623762376238,3.6996990740740734,2.0,0.0,2.0,0
2015-06-01,systemd,55.0,,56.0,13.50132625994695,114.31230406095072,305.0,0.0,305.0,0
2015-07-01,systemd,90.0,,52.0,12.52843394575678,163.1918417536664,229.0,0.0,229.0,0
2015-08-01,systemd,129.0,,44.0,14.23369036027264,268.7471444444445,175.0,0.0,175.0,0
2015-09-01,systemd,163.0,,48.0,14.0,264.66292581569667,218.0,0.0,218.0,0
2015-10-01,systemd,203.0,1.0,52.0,18.38929219600726,203.5425876650165,207.0,0.0,207.0,0
2015-11-01,systemd,235.0,,45.0,14.967370441458732,299.75770669786635,235.0,0.0,235.0,0
2015-12-01,systemd,275.0,,31.0,11.734756097560975,245.36482336182337,107.0,0.0,107.0,0
2016-01-01,systemd,295.0,,45.0,11.634976525821596,203.1909899607488,148.0,0.0,148.0,0
2016-02-01,systemd,314.0,,38.0,15.74240422721268,225.62964086328972,168.0,1.0,167.0,0
2016-03-01,systemd,365.0,,62.0,8.19533527696793,298.10989381246327,88.0,0.0,88.0,0
2016-04-01,systemd,316.0,,41.0,30.535714285714285,206.3328106962482,156.0,0.0,156.0,0
2016-05-01,systemd,353.0,,43.0,24.10909090909091,192.46271303927557,149.0,0.0,149.0,0
2016-06-01,systemd,365.0,2.0,40.0,24.87037037037037,161.4320096021948,152.0,0.0,152.0,0
2016-07-01,systemd,389.0,1.0,31.0,22.2280701754386,173.63332272376545,138.0,0.0,138.0,0
2016-08-01,systemd,431.0,,40.0,25.877551020408163,256.9245551430143,132.0,0.0,132.0,0
2016-09-01,systemd,475.0,2.0,36.0,11.472727272727273,264.7383832762557,102.0,0.0,102.0,0
2016-10-01,systemd,486.0,,36.0,28.475409836065573,198.6372341269841,186.0,0.0,186.0,0
2016-11-01,systemd,519.0,1.0,29.0,32.55769230769231,220.68451622494047,135.0,0.0,135.0,0
2016-12-01,systemd,534.0,,34.0,28.217391304347824,314.4959344486532,130.0,0.0,130.0,0
2017-01-01,systemd,580.0,,40.0,18.695652173913043,205.38746565113505,108.0,0.0,108.0,0
2017-02-01,systemd,573.0,,40.0,33.224137931034484,224.02690002204585,197.0,0.0,197.0,0
2017-03-01,systemd,607.0,10.0,37.0,12.183673469387756,134.2068778935185,105.0,1.0,104.0,0
2017-04-01,systemd,652.0,1.0,27.0,28.03703703703704,191.7730317644033,98.0,0.0,98.0,0
2017-05-01,systemd,663.0,,43.0,21.574074074074076,249.81334658260235,123.0,1.0,122.0,0
2017-06-01,systemd,673.0,1.0,31.0,17.0,290.5723162138787,141.0,1.0,140.0,0
2017-07-01,systemd,720.0,3.0,27.0,33.5,252.271694058642,165.0,0.0,165.0,0
2017-08-01,systemd,768.0,,37.0,16.132075471698112,237.4565659249811,128.0,0.0,128.0,0
2017-09-01,systemd,731.0,1.0,32.0,32.11864406779661,210.1273960035403,186.0,0.0,186.0,0
2017-10-01,systemd,810.0,1.0,32.0,32.6551724137931,190.32141453703704,176.0,1.0,175.0,0
2017-11-01,systemd,788.0,,31.0,89.4090909090909,221.461356095679,208.0,1.0,207.0,0
2017-12-01,systemd,803.0,1.0,22.0,40.03125,162.35988324652777,169.0,1.0,168.0,0
2018-01-01,systemd,843.0,2.0,26.0,24.584415584415584,181.76956581858408,201.0,2.0,199.0,0
2018-02-01,systemd,878.0,1.0,29.0,30.258064516129032,200.13158813719636,162.0,0.0,162.0,0
2018-03-01,systemd,903.0,3.0,22.0,38.63636363636363,132.08638136574075,193.0,1.0,192.0,0
2018-04-01,systemd,926.0,,25.0,112.08695652173913,269.9228692937123,134.0,3.0,131.0,0
2018-05-01,systemd,929.0,1.0,29.0,54.34146341463415,151.53534987682636,185.0,0.0,185.0,0
2018-06-01,systemd,942.0,2.0,31.0,180.05084745762713,143.853136777128,231.0,0.0,231.0,0
2018-07-01,systemd,1006.0,,24.0,31.49019607843137,133.8397554265331,157.0,0.0,157.0,0
2018-08-01,systemd,1048.0,,26.0,39.80851063829788,208.7149767260467,123.0,0.0,123.0,0
2018-09-01,systemd,1085.0,,30.0,36.08163265306123,157.1449558080808,137.0,2.0,135.0,0
2018-10-01,systemd,1104.0,,30.0,58.49180327868852,175.96777318985653,261.0,0.0,261.0,0
2018-11-01,systemd,1105.0,,32.0,90.75,99.59699476224104,306.0,0.0,306.0,0
2018-12-01,systemd,1126.0,,28.0,51.42307692307692,160.4983048637718,225.0,0.0,225.0,0
2019-01-01,systemd,1138.0,3.0,28.0,24.62686567164179,124.38100544779694,240.0,2.0,238.0,0
2019-02-01,systemd,1118.0,1.0,12.0,25.74137931034483,114.77827000661377,200.0,3.0,197.0,0
2019-03-01,systemd,1125.0,1.0,27.0,94.78,147.6822926980198,239.0,1.0,238.0,0
2019-04-01,systemd,1158.0,5.0,16.0,56.70588235294117,107.9376894625604,205.0,0.0,205.0,0
2019-05-01,systemd,1180.0,,25.0,40.320754716981135,101.66400776143792,212.0,2.0,210.0,0
2019-06-01,systemd,1165.0,,18.0,44.078947368421055,135.68734281660693,150.0,3.0,147.0,0
2019-07-01,systemd,1166.0,1.0,23.0,62.234042553191486,139.9551037808642,252.0,2.0,250.0,0
2019-08-01,systemd,1211.0,1.0,27.0,28.80952380952381,164.6236611225423,132.0,1.0,131.0,0
2019-09-01,systemd,1280.0,1.0,20.0,15.72222222222222,148.21658134920634,141.0,0.0,141.0,0
2019-10-01,systemd,1286.0,,22.0,33.86538461538461,195.58563747595,149.0,2.0,147.0,0
2019-11-01,systemd,1287.0,2.0,25.0,44.704918032786885,142.42027043075683,208.0,1.0,207.0,0
2019-12-01,systemd,1316.0,1.0,23.0,47.680851063829785,116.79065917755992,154.0,4.0,150.0,0
2020-01-01,systemd,1301.0,,29.0,28.285714285714285,94.83457444818556,181.0,1.0,180.0,0
2020-02-01,systemd,1339.0,1.0,23.0,25.0,144.9804383818342,158.0,1.0,157.0,0
2020-03-01,systemd,1389.0,2.0,18.0,30.52054794520548,148.14572151438628,200.0,0.0,200.0,0
2020-04-01,systemd,1394.0,,28.0,54.98245614035088,128.47651796737213,265.0,2.0,263.0,0
2020-05-01,systemd,1404.0,,25.0,32.46376811594203,124.92640068342152,245.0,0.0,245.0,0
2020-06-01,systemd,1423.0,,26.0,47.90909090909091,176.5609264205445,228.0,0.0,228.0,0
2020-07-01,systemd,1450.0,4.0,23.0,41.92424242424242,103.96755677387914,262.0,1.0,261.0,0
2020-08-01,systemd,1444.0,,21.0,26.253521126760564,98.8466299269453,202.0,0.0,202.0,0
2020-09-01,systemd,1451.0,1.0,17.0,64.57142857142857,107.9390368080993,209.0,1.0,208.0,0
2020-10-01,systemd,1465.0,2.0,25.0,49.91666666666666,93.94793370980872,178.0,3.0,175.0,0
2020-11-01,systemd,1511.0,2.0,34.0,151.70212765957447,101.13010941786696,170.0,2.0,168.0,0
2020-12-01,systemd,1545.0,3.0,21.0,29.83333333333333,81.59233425219112,268.0,2.0,266.0,0
2021-01-01,systemd,1568.0,2.0,25.0,53.40579710144928,170.92071226071576,272.0,1.0,271.0,0
2021-02-01,systemd,1509.0,2.0,24.0,65.08620689655173,102.32549103341849,332.0,5.0,327.0,0
2021-03-01,systemd,1521.0,3.0,19.0,49.31481481481482,117.24035976080246,279.0,2.0,277.0,0
2021-04-01,systemd,1572.0,,16.0,54.75438596491228,137.0145787863757,232.0,0.0,232.0,0
2021-05-01,systemd,1587.0,,25.0,61.20754716981132,78.46300178738865,214.0,3.0,211.0,0
2021-06-01,systemd,1598.0,2.0,17.0,48.766666666666666,120.0060044818755,248.0,1.0,247.0,0
