release_month,release_count,org_name
2024-02-01,23,prefix-dev
2024-03-01,14,prefix-dev
2024-04-01,19,prefix-dev
2023-06-01,1,pyca
2024-01-01,1,pyca
2014-03-01,1,qos-ch
2015-09-01,2,qos-ch
2016-06-01,2,qos-ch
2018-02-01,1,qos-ch
2017-08-01,71,rubygems
2017-09-01,2,rubygems
2017-10-01,1,rubygems
2017-12-01,1,rubygems
2018-05-01,1,rubygems
2018-07-01,1,rubygems
2018-08-01,1,rubygems
2018-09-01,2,rubygems
2018-10-01,4,rubygems
2018-11-01,2,rubygems
2018-12-01,3,rubygems
2019-01-01,2,rubygems
2019-06-01,1,rubygems
2019-08-01,1,rubygems
2019-09-01,1,rubygems
2019-11-01,1,rubygems
2019-12-01,3,rubygems
2020-01-01,2,rubygems
2020-05-01,3,rubygems
2021-10-01,1,rubygems
2022-02-01,2,rubygems
2022-03-01,4,rubygems
2022-04-01,4,rubygems
2022-05-01,4,rubygems
2022-06-01,6,rubygems
2022-07-01,4,rubygems
2022-08-01,4,rubygems
2022-09-01,2,rubygems
2022-10-01,4,rubygems
2022-11-01,4,rubygems
2022-12-01,4,rubygems
2023-01-01,10,rubygems
2023-02-01,4,rubygems
2023-03-01,6,rubygems
2023-04-01,5,rubygems
2023-05-01,2,rubygems
2023-06-01,4,rubygems
2023-07-01,4,rubygems
2023-08-01,4,rubygems
2023-09-01,2,rubygems
2023-10-01,2,rubygems
2023-11-01,4,rubygems
2023-12-01,10,rubygems
2024-01-01,4,rubygems
2024-02-01,2,rubygems
2024-03-01,2,rubygems
2024-04-01,4,rubygems
2021-06-01,1,rustls
2021-07-01,1,rustls
2021-11-01,3,rustls
2023-04-01,1,rustls
2023-07-01,65,rustls
2023-08-01,7,rustls
2023-09-01,3,rustls
2023-10-01,17,rustls
2023-11-01,7,rustls
2023-12-01,5,rustls
2024-01-01,7,rustls
2024-02-01,9,rustls
2024-03-01,15,rustls
2024-04-01,6,rustls
2014-03-01,3,systemd
2015-10-01,1,systemd
2016-06-01,2,systemd
2016-07-01,1,systemd
2016-09-01,2,systemd
2016-11-01,1,systemd
2017-03-01,10,systemd
2017-04-01,1,systemd
2017-06-01,1,systemd
2017-07-01,3,systemd
2017-09-01,1,systemd
2017-10-01,1,systemd
2017-12-01,1,systemd
2018-01-01,2,systemd
2018-02-01,1,systemd
2018-03-01,3,systemd
2018-05-01,1,systemd
2018-06-01,2,systemd
2019-01-01,3,systemd
2019-02-01,1,systemd
2019-03-01,1,systemd
2019-04-01,5,systemd
2019-07-01,1,systemd
2019-08-01,1,systemd
2019-09-01,1,systemd
2019-11-01,2,systemd
2019-12-01,1,systemd
2020-02-01,1,systemd
2020-03-01,2,systemd
2020-07-01,4,systemd
2020-09-01,1,systemd
2020-10-01,2,systemd
2020-11-01,2,systemd
2020-12-01,3,systemd
2021-01-01,2,systemd
2021-02-01,2,systemd
2021-03-01,3,systemd
2021-06-01,2,systemd
2021-07-01,3,systemd
2021-08-01,1,systemd
2021-10-01,11,systemd
2021-11-01,3,systemd
2021-12-01,6,systemd
2022-01-01,1,systemd
2022-03-01,4,systemd
2022-04-01,1,systemd
2022-05-01,4,systemd
2022-06-01,1,systemd
2022-08-01,6,systemd
2022-10-01,5,systemd
2022-12-01,2,systemd
2023-01-01,1,systemd
2023-02-01,6,systemd
2023-04-01,2,systemd
2023-05-01,5,systemd
2023-06-01,3,systemd
2023-07-01,13,systemd
2023-08-01,4,systemd
2023-09-01,17,systemd
2023-10-01,1,systemd
2023-11-01,12,systemd
2023-12-01,12,systemd
2024-01-01,7,systemd
2024-02-01,4,systemd
2024-03-01,2,systemd
2024-04-01,1,systemd
2015-01-01,4,tc39
2015-03-01,1,tc39
2015-07-01,1,tc39
2015-08-01,12,tc39
2015-09-01,6,tc39
2015-10-01,6,tc39
2015-11-01,2,tc39
2015-12-01,4,tc39
2016-01-01,1,tc39
2016-02-01,1,tc39
2016-03-01,1,tc39
2016-04-01,1,tc39
2016-05-01,3,tc39
2016-07-01,1,tc39
2016-12-01,2,tc39
2020-04-01,4,tc39
2020-05-01,2,tc39
2020-06-01,2,tc39
2021-03-01,2,tc39
2021-07-01,1,tc39
2021-08-01,3,tc39
2021-09-01,2,tc39
2021-10-01,1,tc39
2021-11-01,6,tc39
2021-12-01,5,tc39
2022-01-01,2,tc39
2022-02-01,3,tc39
2022-03-01,5,tc39
2022-04-01,3,tc39
2022-05-01,1,tc39
2022-06-01,2,tc39
2022-07-01,6,tc39
2022-08-01,3,tc39
2022-09-01,2,tc39
2022-10-01,4,tc39
2022-11-01,1,tc39
2023-01-01,1,tc39
2023-02-01,3,tc39
2023-04-01,4,tc39
2023-06-01,2,tc39
2023-07-01,1,tc39
2023-08-01,2,tc39
2023-09-01,2,tc39
2023-11-01,2,tc39
2023-12-01,1,tc39
2024-01-01,2,tc39
2024-02-01,4,tc39
2024-03-01,3,tc39
2018-07-01,1,uutils
2019-05-01,1,uutils
2020-04-01,1,uutils
2020-05-01,1,uutils
2021-01-01,1,uutils
2021-02-01,1,uutils
2021-03-01,1,uutils
2021-04-01,2,uutils
2021-07-01,1,uutils
2021-10-01,1,uutils
2022-01-01,2,uutils
2022-04-01,1,uutils
2022-05-01,1,uutils
2022-08-01,2,uutils
2022-10-01,1,uutils
2023-01-01,2,uutils
2023-04-01,2,uutils
2023-05-01,2,uutils
2023-06-01,2,uutils
2023-07-01,4,uutils
2023-09-01,3,uutils
2023-10-01,1,uutils
2023-11-01,1,uutils
2024-01-01,1,uutils
2024-02-01,4,uutils
2024-03-01,1,uutils
2024-04-01,3,uutils
2013-10-01,2,w3c
2013-11-01,1,w3c
2014-08-01,4,w3c
2014-09-01,2,w3c
2014-10-01,1,w3c
2014-11-01,1,w3c
2015-02-01,1,w3c
2015-03-01,3,w3c
2015-04-01,2,w3c
2015-07-01,2,w3c
2015-09-01,1,w3c
2015-10-01,1,w3c
2015-11-01,2,w3c
2016-02-01,1,w3c
2016-05-01,3,w3c
2016-07-01,1,w3c
2016-08-01,1,w3c
2016-09-01,3,w3c
2016-11-01,3,w3c
2017-01-01,2,w3c
2017-02-01,3,w3c
2017-03-01,7,w3c
2017-05-01,1,w3c
2017-06-01,3,w3c
2017-07-01,1,w3c
2017-08-01,2,w3c
2017-09-01,4,w3c
2017-10-01,4,w3c
2017-11-01,2,w3c
2017-12-01,2,w3c
2018-01-01,5,w3c
2018-02-01,6,w3c
2018-03-01,7,w3c
2018-04-01,4,w3c
2018-05-01,2,w3c
2018-06-01,3,w3c
2018-07-01,4,w3c
2018-08-01,4,w3c
2018-09-01,6,w3c
2018-10-01,8,w3c
2018-11-01,6,w3c
2018-12-01,7,w3c
2019-01-01,3,w3c
2019-02-01,8,w3c
2019-03-01,7,w3c
2019-04-01,3,w3c
2019-05-01,7,w3c
2019-06-01,2,w3c
2019-07-01,2,w3c
2019-08-01,3,w3c
2019-09-01,1,w3c
2019-10-01,4,w3c
2019-11-01,6,w3c
2019-12-01,5,w3c
2020-01-01,9,w3c
2020-02-01,9,w3c
2020-03-01,4,w3c
2020-04-01,5,w3c
2020-05-01,12,w3c
2020-06-01,27,w3c
2020-07-01,10,w3c
2020-08-01,8,w3c
2020-09-01,23,w3c
2020-10-01,18,w3c
2020-11-01,16,w3c
2020-12-01,10,w3c
2021-01-01,6,w3c
2021-02-01,11,w3c
2021-03-01,21,w3c
2021-04-01,14,w3c
2021-05-01,19,w3c
2021-06-01,16,w3c
2021-07-01,19,w3c
2021-08-01,13,w3c
2021-09-01,13,w3c
2021-10-01,12,w3c
2021-11-01,19,w3c
2021-12-01,14,w3c
2022-01-01,6,w3c
2022-02-01,7,w3c
2022-03-01,10,w3c
2022-04-01,4,w3c
2022-05-01,9,w3c
2022-06-01,12,w3c
2022-08-01,4,w3c
2022-09-01,8,w3c
2022-10-01,9,w3c
2022-11-01,12,w3c
2022-12-01,8,w3c
2023-01-01,8,w3c
2023-02-01,2,w3c
2023-03-01,6,w3c
2023-04-01,10,w3c
2023-05-01,5,w3c
2023-06-01,11,w3c
2023-07-01,15,w3c
2023-08-01,4,w3c
2023-09-01,11,w3c
2023-10-01,3,w3c
2023-11-01,21,w3c
2023-12-01,28,w3c
2024-01-01,20,w3c
2024-02-01,29,w3c
2024-03-01,32,w3c
2024-04-01,21,w3c
2023-08-01,1,sequoia-pgp
2023-09-01,1,sequoia-pgp
2015-05-01,4,apereo
2015-06-01,2,apereo
2016-03-01,6,apereo
2017-08-01,1,apereo
2018-01-01,2,apereo
2018-02-01,1,apereo
2018-04-01,1,apereo
2018-06-01,1,apereo
2018-07-01,1,apereo
2018-10-01,2,apereo
2018-11-01,4,apereo
2018-12-01,1,apereo
2019-04-01,1,apereo
2019-08-01,1,apereo
2019-10-01,1,apereo
2020-07-01,4,apereo
2020-08-01,2,apereo
2020-09-01,7,apereo
2020-10-01,5,apereo
2020-11-01,3,apereo
2020-12-01,3,apereo
2021-01-01,4,apereo
2021-02-01,3,apereo
2021-03-01,3,apereo
2021-04-01,3,apereo
2021-05-01,2,apereo
2021-06-01,2,apereo
2021-07-01,7,apereo
2021-08-01,2,apereo
2021-10-01,4,apereo
2021-11-01,8,apereo
2021-12-01,13,apereo
2022-01-01,4,apereo
2022-02-01,5,apereo
2022-03-01,10,apereo
2022-04-01,8,apereo
2022-05-01,4,apereo
2022-06-01,3,apereo
2022-07-01,4,apereo
2022-08-01,5,apereo
2022-09-01,3,apereo
2022-10-01,4,apereo
2022-11-01,6,apereo
2022-12-01,3,apereo
2023-01-01,1,apereo
2023-02-01,5,apereo
2023-03-01,5,apereo
2023-04-01,2,apereo
2023-05-01,3,apereo
2023-06-01,2,apereo
2023-07-01,1,apereo
2023-08-01,4,apereo
2023-09-01,3,apereo
2023-10-01,22,apereo
2023-11-01,38,apereo
2023-12-01,130,apereo
2024-01-01,79,apereo
2024-02-01,55,apereo
2024-03-01,43,apereo
2024-04-01,19,apereo
2017-08-01,1,streamich
2017-11-01,2,streamich
2017-12-01,3,streamich
2018-01-01,6,streamich
2018-02-01,14,streamich
2018-03-01,1,streamich
2018-04-01,1,streamich
2018-05-01,1,streamich
2018-06-01,17,streamich
2018-07-01,8,streamich
2018-08-01,7,streamich
2018-09-01,12,streamich
2018-10-01,18,streamich
2018-11-01,21,streamich
2018-12-01,26,streamich
2019-01-01,6,streamich
2019-02-01,22,streamich
2019-03-01,42,streamich
2019-04-01,21,streamich
2019-05-01,1,streamich
2019-06-01,3,streamich
2019-07-01,5,streamich
2019-08-01,5,streamich
2019-09-01,2,streamich
2019-10-01,2,streamich
2019-11-01,25,streamich
2019-12-01,14,streamich
2020-01-01,21,streamich
2020-02-01,26,streamich
2020-03-01,6,streamich
2020-04-01,18,streamich
2020-05-01,24,streamich
2020-06-01,13,streamich
2020-07-01,8,streamich
2020-08-01,1,streamich
2020-09-01,3,streamich
2020-10-01,7,streamich
2020-11-01,4,streamich
2020-12-01,2,streamich
2021-01-01,8,streamich
2021-02-01,5,streamich
2021-03-01,3,streamich
2021-04-01,7,streamich
2021-07-01,3,streamich
2021-08-01,3,streamich
2021-09-01,2,streamich
2021-10-01,3,streamich
2021-11-01,2,streamich
2021-12-01,2,streamich
2022-02-01,4,streamich
2022-03-01,1,streamich
2022-04-01,26,streamich
2022-05-01,8,streamich
2022-06-01,3,streamich
2022-07-01,1,streamich
2022-10-01,2,streamich
2022-11-01,4,streamich
2023-01-01,1,streamich
2023-04-01,9,streamich
