month,unique_pull_requests,open_pull_requests,closed_pull_requests,org_name
2017-09,6,0,6,qos-ch
2017-10,6,2,4,qos-ch
2017-11,7,5,2,qos-ch
2017-12,5,3,2,qos-ch
2018-01,4,2,2,qos-ch
2018-02,2,2,0,qos-ch
2018-03,10,3,7,qos-ch
2018-04,1,1,0,qos-ch
2018-05,5,3,2,qos-ch
2018-06,4,3,1,qos-ch
2018-07,2,1,1,qos-ch
2018-08,4,3,1,qos-ch
2018-09,8,1,7,qos-ch
2018-10,7,5,2,qos-ch
2018-11,3,2,1,qos-ch
2018-12,7,6,1,qos-ch
2019-01,4,3,1,qos-ch
2019-02,5,1,4,qos-ch
2019-03,5,2,3,qos-ch
2019-04,3,2,1,qos-ch
2019-05,4,4,0,qos-ch
2019-06,3,2,1,qos-ch
2019-07,9,1,8,qos-ch
2019-08,11,2,9,qos-ch
2019-09,2,1,1,qos-ch
2019-10,7,3,4,qos-ch
2019-11,5,2,3,qos-ch
2019-12,4,3,1,qos-ch
2020-01,2,2,0,qos-ch
2020-02,4,2,2,qos-ch
2020-03,10,7,3,qos-ch
2020-04,3,1,2,qos-ch
2020-05,2,1,1,qos-ch
2020-06,3,2,1,qos-ch
2020-07,6,5,1,qos-ch
2020-08,7,3,4,qos-ch
2020-09,2,0,2,qos-ch
2020-10,12,9,3,qos-ch
2020-11,5,5,0,qos-ch
2020-12,4,3,1,qos-ch
2021-01,2,2,0,qos-ch
2021-02,13,8,5,qos-ch
2021-03,2,1,1,qos-ch
2021-04,2,1,1,qos-ch
2021-05,6,6,0,qos-ch
2021-06,5,4,1,qos-ch
2021-07,1,1,0,qos-ch
2021-08,9,2,7,qos-ch
2021-09,2,1,1,qos-ch
2021-10,7,1,6,qos-ch
2021-11,5,1,4,qos-ch
2021-12,19,7,12,qos-ch
2022-01,18,5,13,qos-ch
2022-02,7,2,5,qos-ch
2022-03,6,2,4,qos-ch
2022-04,9,1,8,qos-ch
2022-05,5,1,4,qos-ch
2022-06,6,5,1,qos-ch
2022-07,10,1,9,qos-ch
2022-08,10,2,8,qos-ch
2022-09,20,5,15,qos-ch
2022-10,10,1,9,qos-ch
2022-11,11,6,5,qos-ch
2022-12,10,1,9,qos-ch
2023-01,7,1,6,qos-ch
2023-02,4,3,1,qos-ch
2023-03,16,5,11,qos-ch
2023-04,10,0,10,qos-ch
2023-05,4,0,4,qos-ch
2023-06,11,3,8,qos-ch
2023-07,6,2,4,qos-ch
2023-08,2,0,2,qos-ch
2023-09,2,1,1,qos-ch
2023-10,7,5,2,qos-ch
2023-11,7,4,3,qos-ch
2023-12,5,2,3,qos-ch
2024-01,9,6,3,qos-ch
2024-02,7,3,4,qos-ch
2024-03,9,6,3,qos-ch
2024-04,6,5,1,qos-ch
2012-01,48,0,48,rubygems
2012-02,29,0,29,rubygems
2012-03,33,0,33,rubygems
2012-04,22,0,22,rubygems
2012-05,23,0,23,rubygems
2012-06,14,0,14,rubygems
2012-07,18,0,18,rubygems
2012-08,26,0,26,rubygems
2012-09,32,0,32,rubygems
2012-10,33,0,33,rubygems
2012-11,56,0,56,rubygems
2012-12,29,0,29,rubygems
2013-01,93,0,93,rubygems
2013-02,86,0,86,rubygems
2013-03,60,0,60,rubygems
2013-04,31,0,31,rubygems
2013-05,26,0,26,rubygems
2013-06,36,0,36,rubygems
2013-07,56,0,56,rubygems
2013-08,61,0,61,rubygems
2013-09,50,0,50,rubygems
2013-10,52,0,52,rubygems
2013-11,44,0,44,rubygems
2013-12,59,0,59,rubygems
2014-01,60,0,60,rubygems
2014-02,49,0,49,rubygems
2014-03,38,0,38,rubygems
2014-04,52,1,51,rubygems
2014-05,61,1,60,rubygems
2014-06,28,0,28,rubygems
2014-07,40,0,40,rubygems
2014-08,31,0,31,rubygems
2014-09,28,0,28,rubygems
2014-10,36,0,36,rubygems
2014-11,69,0,69,rubygems
2014-12,89,0,89,rubygems
2015-01,77,0,77,rubygems
2015-02,78,0,78,rubygems
2015-03,113,2,111,rubygems
2015-04,71,0,71,rubygems
2015-05,79,0,79,rubygems
2015-06,93,0,93,rubygems
2015-07,151,0,151,rubygems
2015-08,91,0,91,rubygems
2015-09,73,0,73,rubygems
2015-10,100,0,100,rubygems
2015-11,82,0,82,rubygems
2015-12,94,0,94,rubygems
2016-01,103,0,103,rubygems
2016-02,107,0,107,rubygems
2016-03,132,0,132,rubygems
2016-04,81,0,81,rubygems
2016-05,106,0,106,rubygems
2016-06,111,1,110,rubygems
2016-07,78,1,77,rubygems
2016-08,116,0,116,rubygems
2016-09,86,0,86,rubygems
2016-10,105,0,105,rubygems
2016-11,75,0,75,rubygems
2016-12,67,0,67,rubygems
2017-01,82,0,82,rubygems
2017-02,83,0,83,rubygems
2017-03,55,1,54,rubygems
2017-04,73,0,73,rubygems
2017-05,68,0,68,rubygems
2017-06,94,0,94,rubygems
2017-07,67,0,67,rubygems
2017-08,85,0,85,rubygems
2017-09,58,0,58,rubygems
2017-10,70,0,70,rubygems
2017-11,60,0,60,rubygems
2017-12,52,0,52,rubygems
2018-01,46,0,46,rubygems
2018-02,67,0,67,rubygems
2018-03,75,1,74,rubygems
2018-04,41,2,39,rubygems
2018-05,51,0,51,rubygems
2018-06,53,1,52,rubygems
2018-07,49,0,49,rubygems
2018-08,49,0,49,rubygems
2018-09,55,0,55,rubygems
2018-10,97,2,95,rubygems
2018-11,94,0,94,rubygems
2018-12,101,2,99,rubygems
2019-01,103,0,103,rubygems
2019-02,97,0,97,rubygems
2019-03,120,0,120,rubygems
2019-04,130,0,130,rubygems
2019-05,71,2,69,rubygems
2019-06,90,0,90,rubygems
2019-07,88,0,88,rubygems
2019-08,112,0,112,rubygems
2019-09,62,1,61,rubygems
2019-10,68,0,68,rubygems
2019-11,88,0,88,rubygems
2019-12,90,0,90,rubygems
2020-01,106,0,106,rubygems
2020-02,74,0,74,rubygems
