issue_month,running_total_open_issues,org_name
2018-10-01,6.0,fortran-lang
2018-11-01,8.0,fortran-lang
2018-12-01,10.0,fortran-lang
2019-01-01,9.0,fortran-lang
2019-02-01,12.0,fortran-lang
2019-03-01,8.0,fortran-lang
2019-04-01,12.0,fortran-lang
2019-05-01,14.0,fortran-lang
2019-06-01,19.0,fortran-lang
2019-07-01,12.0,fortran-lang
2019-08-01,13.0,fortran-lang
2019-09-01,16.0,fortran-lang
2019-12-01,52.0,fortran-lang
2020-01-01,101.0,fortran-lang
2020-02-01,108.0,fortran-lang
2020-03-01,112.0,fortran-lang
2020-04-01,125.0,fortran-lang
2020-05-01,143.0,fortran-lang
2020-06-01,158.0,fortran-lang
2020-07-01,206.0,fortran-lang
2020-08-01,214.0,fortran-lang
2020-09-01,239.0,fortran-lang
2020-10-01,245.0,fortran-lang
2020-11-01,258.0,fortran-lang
2020-12-01,265.0,fortran-lang
2021-01-01,275.0,fortran-lang
2021-02-01,313.0,fortran-lang
2021-03-01,323.0,fortran-lang
2021-04-01,373.0,fortran-lang
2021-05-01,392.0,fortran-lang
2021-06-01,424.0,fortran-lang
2021-07-01,450.0,fortran-lang
2021-08-01,474.0,fortran-lang
2021-09-01,493.0,fortran-lang
2021-10-01,482.0,fortran-lang
2021-11-01,505.0,fortran-lang
2021-12-01,528.0,fortran-lang
2022-01-01,540.0,fortran-lang
2022-02-01,571.0,fortran-lang
2022-03-01,597.0,fortran-lang
2022-04-01,590.0,fortran-lang
2022-05-01,593.0,fortran-lang
2022-06-01,591.0,fortran-lang
2022-07-01,604.0,fortran-lang
2022-08-01,592.0,fortran-lang
2022-09-01,603.0,fortran-lang
2022-10-01,626.0,fortran-lang
2022-11-01,619.0,fortran-lang
2022-12-01,639.0,fortran-lang
2023-01-01,650.0,fortran-lang
2023-02-01,656.0,fortran-lang
2023-03-01,666.0,fortran-lang
2023-04-01,680.0,fortran-lang
2023-05-01,693.0,fortran-lang
2023-06-01,689.0,fortran-lang
2023-07-01,696.0,fortran-lang
2023-08-01,697.0,fortran-lang
2023-09-01,703.0,fortran-lang
2023-10-01,703.0,fortran-lang
2023-11-01,707.0,fortran-lang
2023-12-01,709.0,fortran-lang
2024-01-01,719.0,fortran-lang
2024-02-01,724.0,fortran-lang
2024-03-01,726.0,fortran-lang
2024-04-01,734.0,fortran-lang
2020-08-01,1.0,openmls
2020-09-01,18.0,openmls
2020-10-01,72.0,openmls
2020-11-01,74.0,openmls
2020-12-01,74.0,openmls
2021-01-01,65.0,openmls
2021-02-01,70.0,openmls
2021-03-01,73.0,openmls
2021-04-01,72.0,openmls
2021-05-01,72.0,openmls
2021-06-01,79.0,openmls
2021-07-01,85.0,openmls
2021-08-01,85.0,openmls
2021-09-01,96.0,openmls
2021-10-01,107.0,openmls
2021-11-01,123.0,openmls
2021-12-01,125.0,openmls
2022-01-01,124.0,openmls
2022-02-01,108.0,openmls
2022-03-01,109.0,openmls
2022-04-01,122.0,openmls
2022-05-01,126.0,openmls
2022-06-01,126.0,openmls
2022-08-01,176.0,openmls
2022-09-01,177.0,openmls
2022-10-01,178.0,openmls
2022-11-01,153.0,openmls
2022-12-01,153.0,openmls
2023-01-01,186.0,openmls
2023-02-01,199.0,openmls
2023-03-01,206.0,openmls
2023-04-01,197.0,openmls
2023-05-01,188.0,openmls
2023-06-01,191.0,openmls
2023-07-01,191.0,openmls
2023-08-01,189.0,openmls
2023-09-01,188.0,openmls
2023-11-01,189.0,openmls
2023-12-01,192.0,openmls
2024-01-01,183.0,openmls
2024-02-01,181.0,openmls
2024-03-01,182.0,openmls
2024-04-01,181.0,openmls
2012-01-01,26.0,openpgpjs
2012-02-01,26.0,openpgpjs
2012-03-01,28.0,openpgpjs
2012-04-01,28.0,openpgpjs
2012-05-01,28.0,openpgpjs
2012-06-01,29.0,openpgpjs
2012-08-01,30.0,openpgpjs
2012-12-01,33.0,openpgpjs
2013-01-01,34.0,openpgpjs
2013-02-01,34.0,openpgpjs
2013-03-01,36.0,openpgpjs
2013-04-01,36.0,openpgpjs
2013-05-01,37.0,openpgpjs
2013-06-01,39.0,openpgpjs
2013-07-01,44.0,openpgpjs
2013-08-01,48.0,openpgpjs
2013-09-01,52.0,openpgpjs
2013-10-01,58.0,openpgpjs
2013-11-01,60.0,openpgpjs
2013-12-01,60.0,openpgpjs
2014-01-01,31.0,openpgpjs
2014-02-01,36.0,openpgpjs
2014-03-01,39.0,openpgpjs
2014-04-01,40.0,openpgpjs
2014-05-01,39.0,openpgpjs
2014-06-01,43.0,openpgpjs
2014-07-01,47.0,openpgpjs
2014-08-01,48.0,openpgpjs
2014-09-01,50.0,openpgpjs
2014-10-01,45.0,openpgpjs
2014-11-01,49.0,openpgpjs
2014-12-01,50.0,openpgpjs
2015-01-01,54.0,openpgpjs
2015-02-01,54.0,openpgpjs
2015-03-01,56.0,openpgpjs
2015-04-01,58.0,openpgpjs
2015-05-01,66.0,openpgpjs
2015-06-01,71.0,openpgpjs
2015-07-01,72.0,openpgpjs
2015-08-01,75.0,openpgpjs
2015-09-01,77.0,openpgpjs
2015-10-01,79.0,openpgpjs
2015-11-01,80.0,openpgpjs
2015-12-01,84.0,openpgpjs
2016-01-01,88.0,openpgpjs
2016-02-01,81.0,openpgpjs
2016-03-01,35.0,openpgpjs
2016-04-01,38.0,openpgpjs
2016-05-01,42.0,openpgpjs
2016-06-01,43.0,openpgpjs
2016-07-01,44.0,openpgpjs
2016-08-01,46.0,openpgpjs
2016-09-01,48.0,openpgpjs
2016-10-01,45.0,openpgpjs
2016-11-01,50.0,openpgpjs
2016-12-01,54.0,openpgpjs
2017-01-01,54.0,openpgpjs
2017-02-01,54.0,openpgpjs
2017-03-01,58.0,openpgpjs
2017-04-01,62.0,openpgpjs
2017-05-01,67.0,openpgpjs
2017-06-01,68.0,openpgpjs
2017-07-01,67.0,openpgpjs
2017-08-01,69.0,openpgpjs
2017-09-01,72.0,openpgpjs
2017-10-01,75.0,openpgpjs
2017-11-01,75.0,openpgpjs
2017-12-01,76.0,openpgpjs
2018-01-01,82.0,openpgpjs
2018-02-01,74.0,openpgpjs
2018-03-01,72.0,openpgpjs
2018-04-01,60.0,openpgpjs
2018-05-01,58.0,openpgpjs
2018-06-01,64.0,openpgpjs
2018-07-01,68.0,openpgpjs
2018-08-01,67.0,openpgpjs
2018-09-01,67.0,openpgpjs
2018-10-01,73.0,openpgpjs
2018-11-01,50.0,openpgpjs
2018-12-01,55.0,openpgpjs
2019-01-01,54.0,openpgpjs
2019-02-01,54.0,openpgpjs
2019-03-01,57.0,openpgpjs
2019-04-01,52.0,openpgpjs
2019-05-01,52.0,openpgpjs
2019-06-01,56.0,openpgpjs
2019-07-01,60.0,openpgpjs
2019-08-01,65.0,openpgpjs
2019-09-01,71.0,openpgpjs
2019-10-01,78.0,openpgpjs
2019-11-01,79.0,openpgpjs
2019-12-01,83.0,openpgpjs
2020-01-01,82.0,openpgpjs
2020-02-01,78.0,openpgpjs
2020-03-01,77.0,openpgpjs
2020-04-01,57.0,openpgpjs
2020-05-01,60.0,openpgpjs
2020-06-01,64.0,openpgpjs
2020-07-01,70.0,openpgpjs
2020-08-01,75.0,openpgpjs
2020-09-01,78.0,openpgpjs
2020-10-01,80.0,openpgpjs
2020-11-01,75.0,openpgpjs
2020-12-01,76.0,openpgpjs
2021-01-01,79.0,openpgpjs
2021-02-01,32.0,openpgpjs
2021-03-01,28.0,openpgpjs
2021-04-01,28.0,openpgpjs
2021-05-01,24.0,openpgpjs
2021-06-01,20.0,openpgpjs
2021-07-01,17.0,openpgpjs
2021-08-01,17.0,openpgpjs
2021-09-01,18.0,openpgpjs
2021-10-01,16.0,openpgpjs
2021-11-01,16.0,openpgpjs
2021-12-01,17.0,openpgpjs
2022-01-01,17.0,openpgpjs
2022-02-01,22.0,openpgpjs
2022-03-01,21.0,openpgpjs
2022-04-01,22.0,openpgpjs
2022-05-01,20.0,openpgpjs
2022-06-01,20.0,openpgpjs
2022-07-01,20.0,openpgpjs
2022-08-01,20.0,openpgpjs
2022-09-01,22.0,openpgpjs
2022-10-01,22.0,openpgpjs
2022-11-01,22.0,openpgpjs
2022-12-01,23.0,openpgpjs
2023-01-01,24.0,openpgpjs
2023-02-01,24.0,openpgpjs
2023-03-01,27.0,openpgpjs
2023-04-01,28.0,openpgpjs
2023-05-01,27.0,openpgpjs
2023-06-01,30.0,openpgpjs
2023-07-01,30.0,openpgpjs
2023-08-01,35.0,openpgpjs
2023-09-01,32.0,openpgpjs
2023-10-01,31.0,openpgpjs
2023-11-01,33.0,openpgpjs
2023-12-01,34.0,openpgpjs
2024-01-01,32.0,openpgpjs
2024-02-01,34.0,openpgpjs
2024-03-01,33.0,openpgpjs
2024-04-01,33.0,openpgpjs
2012-01-01,330.0,rubygems
2012-02-01,344.0,rubygems
2012-03-01,348.0,rubygems
2012-04-01,390.0,rubygems
2012-05-01,435.0,rubygems
2012-06-01,449.0,rubygems
2012-07-01,467.0,rubygems
2012-08-01,483.0,rubygems
2012-09-01,496.0,rubygems
2012-10-01,484.0,rubygems
2012-11-01,396.0,rubygems
2012-12-01,393.0,rubygems
2013-01-01,399.0,rubygems
2013-02-01,398.0,rubygems
2013-03-01,417.0,rubygems
2013-04-01,438.0,rubygems
2013-05-01,453.0,rubygems
2013-06-01,435.0,rubygems
2013-07-01,384.0,rubygems
2013-08-01,214.0,rubygems
2013-09-01,220.0,rubygems
2013-10-01,235.0,rubygems
2013-11-01,244.0,rubygems
2013-12-01,251.0,rubygems
2014-01-01,245.0,rubygems
2014-02-01,263.0,rubygems
2014-03-01,283.0,rubygems
2014-04-01,287.0,rubygems
2014-05-01,290.0,rubygems
2014-06-01,309.0,rubygems
2014-07-01,314.0,rubygems
2014-08-01,338.0,rubygems
2014-09-01,314.0,rubygems
2014-10-01,328.0,rubygems
2014-11-01,293.0,rubygems
2014-12-01,289.0,rubygems
2015-01-01,309.0,rubygems
2015-02-01,327.0,rubygems
2015-03-01,316.0,rubygems
2015-04-01,325.0,rubygems
2015-05-01,348.0,rubygems
2015-06-01,370.0,rubygems
2015-07-01,367.0,rubygems
2015-08-01,368.0,rubygems
2015-09-01,379.0,rubygems
2015-10-01,359.0,rubygems
2015-11-01,371.0,rubygems
2015-12-01,380.0,rubygems
2016-01-01,327.0,rubygems
2016-02-01,297.0,rubygems
2016-03-01,310.0,rubygems
2016-04-01,313.0,rubygems
2016-05-01,357.0,rubygems
2016-06-01,374.0,rubygems
2016-07-01,394.0,rubygems
2016-08-01,382.0,rubygems
2016-09-01,403.0,rubygems
2016-10-01,432.0,rubygems
2016-11-01,428.0,rubygems
2016-12-01,431.0,rubygems
2017-01-01,422.0,rubygems
2017-02-01,419.0,rubygems
2017-03-01,414.0,rubygems
2017-04-01,411.0,rubygems
2017-05-01,430.0,rubygems
2017-06-01,398.0,rubygems
2017-07-01,404.0,rubygems
2017-08-01,411.0,rubygems
2017-09-01,384.0,rubygems
2017-10-01,385.0,rubygems
2017-11-01,409.0,rubygems
2017-12-01,402.0,rubygems
2018-01-01,409.0,rubygems
2018-02-01,389.0,rubygems
2018-03-01,358.0,rubygems
2018-04-01,360.0,rubygems
2018-05-01,367.0,rubygems
2018-06-01,368.0,rubygems
2018-07-01,360.0,rubygems
2018-08-01,365.0,rubygems
2018-09-01,361.0,rubygems
2018-10-01,361.0,rubygems
2018-11-01,370.0,rubygems
2018-12-01,365.0,rubygems
2019-01-01,410.0,rubygems
2019-02-01,409.0,rubygems
2019-03-01,409.0,rubygems
2019-04-01,382.0,rubygems
2019-05-01,389.0,rubygems
2019-06-01,393.0,rubygems
2019-07-01,401.0,rubygems
2019-08-01,415.0,rubygems
2019-09-01,421.0,rubygems
2019-10-01,435.0,rubygems
2019-11-01,424.0,rubygems
2019-12-01,438.0,rubygems
2020-01-01,466.0,rubygems
2020-02-01,479.0,rubygems
2020-03-01,490.0,rubygems
2020-04-01,489.0,rubygems
2020-05-01,485.0,rubygems
2020-06-01,485.0,rubygems
2020-07-01,478.0,rubygems
2020-08-01,482.0,rubygems
2020-09-01,433.0,rubygems
2020-10-01,398.0,rubygems
2020-11-01,391.0,rubygems
2020-12-01,396.0,rubygems
2021-01-01,402.0,rubygems
2021-02-01,412.0,rubygems
2021-03-01,407.0,rubygems
2021-04-01,406.0,rubygems
2021-05-01,413.0,rubygems
2021-06-01,402.0,rubygems
2021-07-01,383.0,rubygems
2021-08-01,378.0,rubygems
2021-09-01,379.0,rubygems
2021-10-01,369.0,rubygems
2021-11-01,361.0,rubygems
2021-12-01,355.0,rubygems
2022-01-01,357.0,rubygems
2022-02-01,375.0,rubygems
2022-03-01,387.0,rubygems
2022-04-01,393.0,rubygems
2022-05-01,391.0,rubygems
2022-06-01,377.0,rubygems
2022-07-01,391.0,rubygems
2022-08-01,389.0,rubygems
2022-09-01,383.0,rubygems
2022-10-01,383.0,rubygems
2022-11-01,389.0,rubygems
2022-12-01,374.0,rubygems
2023-01-01,369.0,rubygems
2023-02-01,376.0,rubygems
2023-03-01,374.0,rubygems
2023-04-01,390.0,rubygems
2023-05-01,402.0,rubygems
2023-06-01,396.0,rubygems
2023-07-01,399.0,rubygems
2023-08-01,388.0,rubygems
2023-09-01,398.0,rubygems
2023-10-01,387.0,rubygems
2023-11-01,384.0,rubygems
2023-12-01,391.0,rubygems
2024-01-01,398.0,rubygems
2024-02-01,402.0,rubygems
2024-03-01,400.0,rubygems
2024-04-01,396.0,rubygems
2013-11-01,4.0,uutils
2013-12-01,15.0,uutils
2014-01-01,14.0,uutils
2014-02-01,15.0,uutils
2014-03-01,16.0,uutils
2014-04-01,17.0,uutils
2014-05-01,21.0,uutils
2014-06-01,37.0,uutils
2014-07-01,34.0,uutils
2014-08-01,38.0,uutils
2014-10-01,40.0,uutils
2014-11-01,41.0,uutils
2014-12-01,38.0,uutils
2015-01-01,39.0,uutils
2015-02-01,40.0,uutils
2015-03-01,39.0,uutils
2015-04-01,45.0,uutils
2015-05-01,43.0,uutils
2015-07-01,46.0,uutils
2015-08-01,47.0,uutils
2015-09-01,49.0,uutils
2015-10-01,50.0,uutils
2015-11-01,52.0,uutils
2015-12-01,56.0,uutils
2016-01-01,57.0,uutils
2016-02-01,59.0,uutils
2016-03-01,67.0,uutils
2016-04-01,67.0,uutils
2016-05-01,66.0,uutils
2016-06-01,62.0,uutils
2016-07-01,61.0,uutils
2016-08-01,40.0,uutils
2016-09-01,39.0,uutils
2016-10-01,39.0,uutils
2016-11-01,40.0,uutils
2016-12-01,43.0,uutils
2017-01-01,42.0,uutils
2017-03-01,53.0,uutils
2017-04-01,50.0,uutils
2017-05-01,52.0,uutils
2017-06-01,62.0,uutils
2017-07-01,64.0,uutils
2017-08-01,65.0,uutils
2017-10-01,66.0,uutils
2017-11-01,66.0,uutils
2017-12-01,69.0,uutils
2018-01-01,71.0,uutils
2018-02-01,71.0,uutils
2018-03-01,70.0,uutils
2018-04-01,74.0,uutils
2018-05-01,75.0,uutils
2018-06-01,78.0,uutils
2018-07-01,77.0,uutils
2018-08-01,84.0,uutils
2018-09-01,85.0,uutils
2018-10-01,84.0,uutils
2018-12-01,89.0,uutils
2019-01-01,89.0,uutils
2019-02-01,93.0,uutils
2019-03-01,97.0,uutils
2019-04-01,98.0,uutils
2019-05-01,101.0,uutils
2019-06-01,101.0,uutils
2019-07-01,103.0,uutils
2019-08-01,107.0,uutils
2019-09-01,108.0,uutils
2019-10-01,110.0,uutils
2019-11-01,111.0,uutils
2019-12-01,112.0,uutils
2020-01-01,114.0,uutils
2020-03-01,116.0,uutils
2020-04-01,113.0,uutils
2020-05-01,106.0,uutils
2020-06-01,108.0,uutils
2020-07-01,111.0,uutils
2020-08-01,114.0,uutils
2020-09-01,115.0,uutils
2020-10-01,116.0,uutils
2020-11-01,119.0,uutils
2020-12-01,118.0,uutils
2021-01-01,123.0,uutils
2021-02-01,131.0,uutils
2021-03-01,164.0,uutils
2021-04-01,175.0,uutils
2021-05-01,177.0,uutils
2021-06-01,156.0,uutils
2021-07-01,154.0,uutils
2021-08-01,150.0,uutils
2021-09-01,163.0,uutils
2021-10-01,161.0,uutils
2021-11-01,161.0,uutils
2021-12-01,160.0,uutils
2022-01-01,178.0,uutils
2022-02-01,199.0,uutils
2022-03-01,187.0,uutils
2022-04-01,182.0,uutils
2022-05-01,186.0,uutils
2022-06-01,191.0,uutils
2022-07-01,188.0,uutils
2022-08-01,200.0,uutils
2022-09-01,196.0,uutils
2022-10-01,200.0,uutils
2022-11-01,204.0,uutils
2022-12-01,214.0,uutils
2023-01-01,222.0,uutils
2023-02-01,225.0,uutils
2023-03-01,241.0,uutils
2023-04-01,243.0,uutils
2023-05-01,243.0,uutils
2023-06-01,253.0,uutils
2023-07-01,257.0,uutils
2023-08-01,269.0,uutils
2023-09-01,268.0,uutils
2023-10-01,269.0,uutils
2023-11-01,283.0,uutils
2023-12-01,303.0,uutils
2024-01-01,320.0,uutils
2024-02-01,337.0,uutils
2024-03-01,395.0,uutils
2024-04-01,401.0,uutils
2023-08-01,1.0,sequoia-pgp
2024-03-01,1.0,sequoia-pgp
