month,unique_contributors,org_name
2023-05,7,openmls
2023-06,4,openmls
2023-07,5,openmls
2023-08,4,openmls
2023-09,5,openmls
2023-10,2,openmls
2023-11,5,openmls
2023-12,3,openmls
2024-01,4,openmls
2024-02,8,openmls
2024-03,6,openmls
2024-04,4,openmls
2012-01,5,openpgpjs
2012-02,3,openpgpjs
2012-03,6,openpgpjs
2012-04,9,openpgpjs
2012-05,5,openpgpjs
2012-06,4,openpgpjs
2012-07,5,openpgpjs
2012-08,6,openpgpjs
2012-09,7,openpgpjs
2012-10,14,openpgpjs
2012-11,6,openpgpjs
2012-12,8,openpgpjs
2013-01,16,openpgpjs
2013-02,14,openpgpjs
2013-03,12,openpgpjs
2013-04,10,openpgpjs
2013-05,8,openpgpjs
2013-06,10,openpgpjs
2013-07,7,openpgpjs
2013-08,10,openpgpjs
2013-09,14,openpgpjs
2013-10,15,openpgpjs
2013-11,17,openpgpjs
2013-12,17,openpgpjs
2014-01,14,openpgpjs
2014-02,12,openpgpjs
2014-03,10,openpgpjs
2014-04,16,openpgpjs
2014-05,15,openpgpjs
2014-06,15,openpgpjs
2014-07,11,openpgpjs
2014-08,9,openpgpjs
2014-09,13,openpgpjs
2014-10,12,openpgpjs
2014-11,15,openpgpjs
2014-12,13,openpgpjs
2015-01,13,openpgpjs
2015-02,13,openpgpjs
2015-03,13,openpgpjs
2015-04,12,openpgpjs
2015-05,10,openpgpjs
2015-06,12,openpgpjs
2015-07,11,openpgpjs
2015-08,17,openpgpjs
2015-09,9,openpgpjs
2015-10,12,openpgpjs
2015-11,8,openpgpjs
2015-12,10,openpgpjs
2016-01,18,openpgpjs
2016-02,14,openpgpjs
2016-03,16,openpgpjs
2016-04,10,openpgpjs
2016-05,5,openpgpjs
2016-06,5,openpgpjs
2016-07,6,openpgpjs
2016-08,7,openpgpjs
2016-09,9,openpgpjs
2016-10,4,openpgpjs
2016-11,6,openpgpjs
2016-12,9,openpgpjs
2017-01,7,openpgpjs
2017-02,12,openpgpjs
2017-03,12,openpgpjs
2017-04,6,openpgpjs
2017-05,2,openpgpjs
2017-06,10,openpgpjs
2017-07,15,openpgpjs
2017-08,6,openpgpjs
2017-09,10,openpgpjs
2017-10,6,openpgpjs
2017-11,4,openpgpjs
2017-12,8,openpgpjs
2018-01,8,openpgpjs
2018-02,9,openpgpjs
2018-03,8,openpgpjs
2018-04,4,openpgpjs
2018-05,9,openpgpjs
2018-06,6,openpgpjs
2018-07,7,openpgpjs
2018-08,8,openpgpjs
2018-09,4,openpgpjs
2018-10,5,openpgpjs
2018-11,11,openpgpjs
2018-12,8,openpgpjs
2019-01,17,openpgpjs
2019-02,7,openpgpjs
2019-03,3,openpgpjs
2019-04,4,openpgpjs
2019-05,4,openpgpjs
2019-06,8,openpgpjs
2019-07,7,openpgpjs
2019-08,4,openpgpjs
2019-09,6,openpgpjs
2019-10,6,openpgpjs
2019-11,5,openpgpjs
2019-12,7,openpgpjs
2020-01,10,openpgpjs
2020-02,4,openpgpjs
2020-03,10,openpgpjs
2020-04,9,openpgpjs
2020-05,4,openpgpjs
2020-06,3,openpgpjs
2020-07,5,openpgpjs
2020-08,3,openpgpjs
2020-09,4,openpgpjs
2020-11,3,openpgpjs
2020-12,1,openpgpjs
2021-01,2,openpgpjs
2021-02,9,openpgpjs
2021-03,5,openpgpjs
2021-04,3,openpgpjs
2021-05,5,openpgpjs
2021-06,4,openpgpjs
2021-07,7,openpgpjs
2021-08,2,openpgpjs
2021-09,3,openpgpjs
2021-10,5,openpgpjs
2021-11,5,openpgpjs
2021-12,9,openpgpjs
2022-01,5,openpgpjs
2022-02,5,openpgpjs
2022-03,2,openpgpjs
2022-05,3,openpgpjs
2022-06,6,openpgpjs
2022-07,6,openpgpjs
2022-08,5,openpgpjs
2022-09,4,openpgpjs
2022-10,4,openpgpjs
2022-11,3,openpgpjs
2022-12,2,openpgpjs
2023-01,6,openpgpjs
2023-02,7,openpgpjs
2023-03,3,openpgpjs
2023-04,8,openpgpjs
2023-05,7,openpgpjs
2023-06,8,openpgpjs
2023-07,3,openpgpjs
2023-08,4,openpgpjs
2023-09,7,openpgpjs
2023-10,6,openpgpjs
