month,unique_contributors,org_name
2014-11,5,rubygems
2014-12,7,rubygems
2015-01,5,rubygems
2015-02,2,rubygems
2015-03,4,rubygems
2015-04,5,rubygems
2015-05,5,rubygems
2015-06,4,rubygems
2015-07,3,rubygems
2015-08,5,rubygems
2015-09,2,rubygems
2015-10,4,rubygems
2015-11,5,rubygems
2015-12,3,rubygems
2016-01,6,rubygems
2016-02,4,rubygems
2016-03,8,rubygems
2016-04,5,rubygems
2016-05,3,rubygems
2016-07,1,rubygems
2016-08,2,rubygems
2016-09,3,rubygems
2016-10,3,rubygems
2016-11,2,rubygems
2016-12,4,rubygems
2017-01,3,rubygems
2017-02,6,rubygems
2017-03,1,rubygems
2017-04,1,rubygems
2017-05,3,rubygems
2017-08,5,rubygems
2017-09,3,rubygems
2017-10,3,rubygems
2017-11,1,rubygems
2018-01,2,rubygems
2018-03,1,rubygems
2018-04,1,rubygems
2018-05,3,rubygems
2018-06,4,rubygems
2018-07,2,rubygems
2018-08,3,rubygems
2018-09,1,rubygems
2018-10,3,rubygems
2018-12,2,rubygems
2019-01,1,rubygems
2019-02,1,rubygems
2019-04,1,rubygems
2019-05,1,rubygems
2019-09,1,rubygems
2019-11,4,rubygems
2019-12,2,rubygems
2020-01,5,rubygems
2020-03,2,rubygems
2020-04,4,rubygems
2020-05,2,rubygems
2020-07,2,rubygems
2020-08,1,rubygems
2020-09,3,rubygems
2020-10,2,rubygems
2020-11,1,rubygems
2020-12,1,rubygems
2021-01,2,rubygems
2021-02,1,rubygems
2021-05,1,rubygems
2021-06,1,rubygems
2021-09,3,rubygems
2021-10,2,rubygems
2021-11,2,rubygems
2022-01,3,rubygems
2022-02,1,rubygems
2022-04,2,rubygems
2022-06,1,rubygems
2022-07,1,rubygems
2022-08,2,rubygems
2022-09,1,rubygems
2022-11,2,rubygems
2022-12,5,rubygems
2023-01,3,rubygems
2023-02,2,rubygems
2023-04,1,rubygems
2023-10,1,rubygems
2012-01,2,uutils
2012-02,4,uutils
2012-03,7,uutils
2012-04,5,uutils
2012-05,3,uutils
2012-06,6,uutils
2012-07,5,uutils
2012-08,5,uutils
2012-09,2,uutils
2012-10,4,uutils
2012-11,4,uutils
2013-01,4,uutils
2013-02,2,uutils
2013-03,3,uutils
2013-04,2,uutils
2013-05,5,uutils
2013-07,5,uutils
2013-09,3,uutils
2013-10,5,uutils
2013-11,6,uutils
2013-12,6,uutils
2014-01,2,uutils
2014-02,3,uutils
2014-03,1,uutils
2014-04,3,uutils
2014-05,2,uutils
2014-06,5,uutils
2014-07,5,uutils
2014-08,1,uutils
2014-09,2,uutils
2014-10,3,uutils
2014-11,1,uutils
2014-12,4,uutils
2015-01,4,uutils
2015-02,4,uutils
2015-03,3,uutils
2015-05,1,uutils
2015-06,3,uutils
2015-07,3,uutils
2015-08,2,uutils
2015-09,4,uutils
2015-10,7,uutils
2015-11,3,uutils
2016-01,4,uutils
2016-02,2,uutils
2016-03,1,uutils
2016-04,2,uutils
2016-05,4,uutils
2016-06,2,uutils
2016-07,2,uutils
2016-09,2,uutils
2016-10,3,uutils
2016-11,1,uutils
2016-12,4,uutils
2017-02,2,uutils
2017-03,1,uutils
2017-04,4,uutils
2017-05,1,uutils
2017-07,2,uutils
2017-08,1,uutils
2017-09,1,uutils
2017-10,1,uutils
2017-11,1,uutils
2017-12,2,uutils
2018-01,2,uutils
2018-02,1,uutils
2018-03,1,uutils
2018-04,2,uutils
2018-05,2,uutils
2018-06,3,uutils
2018-07,2,uutils
2018-08,3,uutils
2018-09,2,uutils
2018-10,4,uutils
2018-11,1,uutils
2018-12,1,uutils
2019-02,1,uutils
2019-03,2,uutils
2019-05,6,uutils
2019-06,1,uutils
2019-07,1,uutils
2019-08,1,uutils
2020-01,1,uutils
2020-02,1,uutils
2020-04,3,uutils
2020-06,2,uutils
2020-08,1,uutils
2020-09,1,uutils
2020-10,3,uutils
2020-11,2,uutils
2021-02,2,uutils
2021-03,1,uutils
2021-06,1,uutils
2021-07,1,uutils
2021-09,1,uutils
2021-10,2,uutils
2022-01,1,uutils
2022-02,2,uutils
2022-04,1,uutils
2022-05,1,uutils
2023-03,1,uutils
2023-09,1,uutils
2023-10,1,uutils
